Why,why,why,364728,ADV,advmod,True
should,should,should,288990,VERB,aux,True
choose,choose,choose,55661,VERB,ROOT,False
Wonder,Wonder,wonder,367029,PROPN,compound,False
Dewi,Dewi,dei,79766,PROPN,compound,False
sheet,sheet,sheet,287863,NOUN,compound,False
mask,mask,mask,180688,NOUN,dobj,False
Natural,Natural,natural,197330,PROPN,compound,False
Fiber,Fiber,fiber,111962,PROPN,compound,False
Dermatologist,Dermatologist,dermatologist,82172,PROPN,nsubj,False
tested,test,test,319741,VERB,ROOT,False
Plant,plant,plant,239068,NOUN,npadvmod,False
derived,derive,derive,82110,VERB,amod,False
cellulose,cellulose,cellulose,50620,NOUN,compound,False
sheet,sheet,sheet,287863,NOUN,dobj,False
