if,if,if,146980,SCONJ,mark,True
stayed,stay,stay,302393,VERB,advcl,False
at,at,at,22372,ADP,prep,True
that,that,that,320639,DET,det,True
job,job,job,161424,NOUN,pobj,False
under,under,under,338801,ADP,prep,True
the,the,the,320691,DET,det,True
guise,guise,guise,131135,NOUN,pobj,False
of,of,of,211535,ADP,prep,True
security,security,security,282950,NOUN,pobj,False
would,would,would,367745,VERB,aux,True
actually,actually,actually,3298,ADV,advmod,False
be,be,be,29345,AUX,ROOT,True
unemployed,unemployed,unemployed,341212,ADJ,acomp,False
right,right,right,272806,ADV,advmod,False
now,now,now,209199,ADV,advmod,True
instead,instead,instead,153876,ADV,advmod,False
of,of,of,211535,ADP,prep,True
temp,temp,temp,318501,NOUN,pobj,False
