if,if,if,146980,SCONJ,mark,True
this,this,this,322217,DET,nsubj,True
is,be,be,29345,AUX,ROOT,True
how,how,how,144540,ADV,advmod,True
jc,jc,jcl,160694,PROPN,nsubj,False
reacted,react,react,261513,VERB,ccomp,False
after,after,after,5615,ADP,prep,True
months,month,month,192909,NOUN,pobj,False
of,of,of,211535,ADP,prep,True
losing,lose,lose,175338,VERB,pcomp,False
wwx,wwx,waw,363392,NOUN,dobj,False
imagine,imagine,imagine,147602,VERB,ROOT,False
just,just,just,162503,ADV,advmod,True
how,how,how,144540,ADV,advmod,True
much,much,much,194510,ADV,advmod,True
truly,truly,truly,331555,ADV,advmod,False
wanted,want,want,362465,VERB,ccomp,False
to,to,to,324862,PART,aux,True
embrace,embrace,embrace,98239,VERB,xcomp,False
wwx,wwx,waw,363392,NOUN,dobj,False
after,after,after,5615,ADP,prep,True
those,those,those,322465,DET,pobj,True
