oh,oh,oh,211771,INTJ,intj,False,0
home,home,home,142751,NOUN,ROOT,False,1
again,again,again,5827,ADV,advmod,True,0
The,the,the,320691,DET,det,True,0
shooting,shooting,shooting,288786,NOUN,nsubj,False,1
was,be,be,29345,AUX,ROOT,True,0
awesome,awesome,awesome,25000,ADJ,acomp,False,1
oh,oh,oh,211771,INTJ,intj,False,0
home,home,home,142751,NOUN,ROOT,False,1
again,again,again,5827,ADV,advmod,True,0
The,the,the,320691,DET,det,True,0
shooting,shooting,shooting,288786,NOUN,nsubj,False,1
was,be,be,29345,AUX,ROOT,True,0
awesome,awesome,awesome,25000,ADJ,acomp,False,1
