If,if,if,146980,SCONJ,mark,True,0
U,u,u,333554,NOUN,nsubj,False,0
R,R,r,259188,PROPN,nsubj,False,0
a,a,a,0,DET,det,True,1
scuba,scuba,scuba,282124,NOUN,amod,False,1
diver,diver,diver,90227,PROPN,appos,False,0
U,u,u,333554,PRON,appos,False,0
must,must,must,196148,VERB,aux,True,0
read,read,read,261551,VERB,ROOT,False,1
Barracuda,Barracuda,barracuda,28280,PROPN,dobj,False,1
This,this,this,322217,DET,det,True,0
novel,novel,novel,209102,NOUN,nsubj,False,1
has,have,have,134390,AUX,ROOT,True,1
more,more,more,193383,ADJ,amod,True,0
thrills,thrill,thrill,322684,NOUN,dobj,False,1
than,than,than,320565,SCONJ,prep,True,1
JAWS,JAWS,jaws,160668,PROPN,pobj,False,0
reviews,review,review,271336,NOUN,compound,False,0
stars,star,star,302844,NOUN,ROOT,False,0
