'm,be,be,29345,AUX,ROOT,True,0
pretty,pretty,pretty,250049,ADV,advmod,False,1
sure,sure,sure,313361,ADJ,acomp,False,0
the,the,the,320691,DET,det,True,0
weather,weather,weather,363591,NOUN,nsubj,False,0
is,be,be,29345,AUX,ccomp,True,0
like,like,like,172172,SCONJ,prep,False,0
this,this,this,322217,DET,pobj,True,0
because,because,because,29780,SCONJ,mark,True,0
God,God,god,127304,PROPN,nsubj,False,0
loves,love,love,175534,VERB,advcl,False,0
and,and,and,12285,CCONJ,cc,True,0
asked,ask,ask,21294,VERB,ROOT,False,0
for,for,for,116301,ADP,prep,True,0
warmth,warmth,warmth,362707,NOUN,pobj,False,0
birthday,birthday,birthday,34904,NOUN,compound,False,0
month,month,month,192909,NOUN,appos,False,1
Gracias,gracia,gracias,128493,NOUN,ROOT,False,0
