Yooo,yooo,yoho,157564,NOUN,amod,False,0
wtf,wtf,wf,364331,VERB,npadvmod,False,1
been,been,been,30353,VERB,ROOT,True,0
at,at,at,22372,ADP,prep,True,0
Txt,txt,txt,333516,VERB,ROOT,False,0
RT,RT,rt,275072,PROPN,ROOT,False,0
's,be,be,29345,AUX,ROOT,True,1
show,show,show,289042,NOUN,acomp,True,1
off,off,off,211539,ADP,prt,True,0
Tuesday,Tuesday,tuesday,332139,PROPN,npadvmod,False,1
because,because,because,29780,SCONJ,mark,True,0
no,no,no,200529,DET,det,True,1
work,work,work,367468,NOUN,advcl,False,1
Wednesday,Wednesday,wednesday,363732,PROPN,npadvmod,False,1
for,for,for,116301,ADP,prep,True,0
Hehehehehe,hehehehehe,headcheese,134590,NOUN,npadvmod,False,0
