Haha,haha,haha,132277,INTJ,intj,False,0
the,the,the,320691,DET,det,True,0
lady,lady,lady,167178,NOUN,nsubj,False,1
in,in,in,149313,ADP,prep,True,0
the,the,the,320691,DET,det,True,0
library,library,library,171561,NOUN,pobj,False,1
just,just,just,162503,ADV,advmod,True,0
said,say,say,276740,VERB,ROOT,False,0
i,i,i,145455,PRON,nsubj,True,1
love,love,love,175534,VERB,ccomp,False,1
last,last,last,168771,ADJ,amod,True,1
name,name,name,196686,NOUN,dobj,True,1
always,always,always,9710,ADV,advmod,True,0
wonder,wonder,wonder,367029,VERB,parataxis,False,1
why,why,why,364728,ADV,advmod,True,0
always,always,always,9710,ADV,advmod,True,0
called,call,call,45246,VERB,ccomp,False,0
by,by,by,33133,ADP,prep,True,0
