Offer,offer,offer,211581,VERB,ROOT,False,1
Floating,float,float,114796,VERB,compound,False,0
Form,form,form,117338,NOUN,compound,False,1
Capture,Capture,capture,47224,PROPN,compound,False,1
Sites,Sites,sites,292618,PROPN,dobj,False,1
to,to,to,324862,ADP,prep,True,0
All,all,all,8522,DET,det,True,0
Sorts,sort,sort,297676,NOUN,pobj,False,0
of,of,of,211535,ADP,prep,True,0
Businesses,Businesses,businesses,43483,PROPN,pobj,False,1
and,and,and,12285,CCONJ,cc,True,0
Get,get,get,124419,AUX,auxpass,True,0
Paid,pay,pay,223065,VERB,conj,False,1
