PSP,psp,pp,245054,NOUN,ROOT,False,0
PHONE,PHONE,phone,234654,PROPN,appos,False,0
OHMYGOODLORD,OHMYGOODLORD,amygdaloid,10496,PROPN,compound,False,0
TECHNOLOGY,technology,technology,317687,NOUN,ROOT,False,0
WHY,why,why,364728,ADV,advmod,True,0
ARE,are,are,19297,VERB,ROOT,True,0
YOU,you,you,157723,PRON,nsubj,True,0
SO,so,so,295959,ADV,advmod,True,0
GREAT,great,great,129442,ADJ,acomp,False,0
also,also,also,9416,ADV,advmod,True,0
an,an,an,11448,DET,det,True,0
Ericsson,Ericsson,herisson,137108,PROPN,nsubj,False,0
which,which,which,364730,DET,nsubj,True,0
means,mean,mean,181735,VERB,relcl,False,0
will,will,will,365768,VERB,aux,True,0
just,just,just,162503,ADV,advmod,True,0
HAVE,have,have,134390,VERB,ROOT,True,0
to,to,to,324862,PART,aux,True,0
buy,buy,buy,42353,VERB,xcomp,False,1
