would,would,would,367745,VERB,aux,True,0
watch,watch,watch,363049,VERB,ROOT,False,1
a,a,a,0,DET,det,True,1
sappy,sappy,sappy,278198,NOUN,amod,False,1
movie,movie,movie,194399,NOUN,dobj,False,1
with,with,with,366582,ADP,prep,True,0
Kim,Kim,kim,164704,PROPN,pobj,False,0
if,if,if,146980,SCONJ,mark,True,0
asked,ask,ask,21294,VERB,advcl,False,0
to,to,to,324862,ADP,prep,True,0
've,have,have,134390,AUX,aux,True,0
watched,watch,watch,363049,VERB,ROOT,False,0
sappy,sappy,sappy,278198,NOUN,amod,False,1
movies,movie,movie,194399,NOUN,dobj,False,0
with,with,with,366582,ADP,prep,True,0
kim,kim,kim,164704,PROPN,pobj,False,1
several,several,several,286743,ADJ,amod,True,0
times,time,time,323746,NOUN,npadvmod,False,1
