Please,please,please,239622,INTJ,intj,True,0
confirm,confirm,confirm,65928,VERB,ROOT,False,1
've,have,have,134390,AUX,aux,True,0
received,receive,receive,262684,VERB,ccomp,False,1
the,the,the,320691,DET,det,True,0
code,code,code,61687,NOUN,dobj,False,1
or,or,or,213904,CCONJ,cc,True,0
will,will,will,365768,VERB,aux,True,0
have,have,have,134390,AUX,ROOT,True,0
to,to,to,324862,PART,aux,True,0
cancel,cancel,cancel,46069,VERB,xcomp,False,1
have,have,have,134390,AUX,aux,True,0
not,not,not,208798,PART,neg,True,0
heard,hear,hear,134794,VERB,ROOT,False,1
back,back,back,25705,ADV,advmod,True,0
from,from,from,119298,ADP,prep,True,0
Thanks,thank,thank,320604,NOUN,ROOT,False,0
