shoutout,shoutout,shutout,289410,ADJ,ROOT,False,1
to,to,to,324862,ADP,prep,True,1
the,the,the,320691,DET,det,True,0
nigga,nigga,niggra,199896,NOUN,pobj,False,1
that,that,that,320639,DET,nsubj,True,0
just,just,just,162503,ADV,advmod,True,0
walked,walk,walk,362193,VERB,relcl,False,1
by,by,by,33133,ADP,prep,True,0
and,and,and,12285,CCONJ,cc,True,0
thought,think,think,321897,VERB,ROOT,False,1
was,be,be,29345,AUX,ccomp,True,0
a,a,a,0,DET,det,True,1
white,white,white,365106,ADJ,amod,False,1
girl,girl,girl,125519,NOUN,attr,False,1
talking,talking,talking,315658,NOUN,acl,False,1
