if,if,if,146980,SCONJ,mark,True,0
're,be,be,29345,AUX,advcl,True,0
a,a,a,0,DET,det,True,0
believer,believer,believer,31087,NOUN,attr,False,1
what,what,what,364447,PRON,attr,True,0
s,s,s,275971,VERB,ROOT,False,0
the,the,the,320691,DET,det,True,0
mosy,mosy,mopsy,193248,ADJ,amod,False,0
favorite,favorite,favorite,110510,ADJ,amod,False,0
thing,thing,thing,321869,NOUN,nsubj,False,0
about,about,about,756,ADP,prep,True,0
t,t,t,314735,NOUN,pobj,False,0
love,love,love,175534,VERB,ccomp,False,0
that,that,that,320639,SCONJ,mark,True,0
is,be,be,29345,AUX,ccomp,True,0
not,not,not,208798,PART,neg,True,0
just,just,just,162503,ADV,advmod,True,0
for,for,for,116301,ADP,prep,True,0
riches,rich,rich,272520,NOUN,pobj,False,1
and,and,and,12285,CCONJ,cc,True,0
fame,fame,fame,109579,NOUN,conj,False,1
love,love,love,175534,VERB,ROOT,False,0
