Got,got,got,128258,VERB,ROOT,False,0
damn,damn,damn,76569,ADV,amod,False,1
Janet,Janet,janet,160303,PROPN,compound,False,0
Jackson,Jackson,jackson,159963,PROPN,nsubj,False,0
got,get,get,124419,VERB,ccomp,False,0
a,a,a,0,DET,det,True,0
fat,fat,fat,110227,ADJ,amod,False,0
ass,ass,ass,21558,NOUN,dobj,False,1
Is,be,be,29345,AUX,ROOT,True,0
real,real,real,261710,ADJ,acomp,False,0
Nevermind,Nevermind,nevermind,199353,PROPN,ROOT,False,0
do,do,do,90528,AUX,aux,True,0
n't,not,not,208798,PART,neg,True,0
care,care,care,47901,VERB,ROOT,False,0
if,if,if,146980,SCONJ,mark,True,0
ai,be,be,29345,VERB,advcl,False,0
n't,not,not,208798,PART,neg,True,0
